,stim,S,C,R,RT,block,cond,day,prestim_R
224,comwale,N,k,k,0.5210315242875367,1,single,1,[]
225,emposties,N,k,k,0.4705637381412089,1,single,1,[]
226,turbulence,P,d,d,0.557726081693545,1,single,1,[]
227,bumbling,W,j,j,0.6554475300945342,1,single,1,[]
228,molocanmum,N,k,k,0.4911215719766915,1,single,1,[]
229,accumulate,W,j,j,0.7404170457739383,1,single,1,[]
230,junglin,N,k,k,0.6026514044497162,1,single,1,[]
231,acturity,N,k,k,0.7088355808518827,1,single,1,[]
232,safari,W,j,j,0.5988516651559621,1,single,1,[]
233,turbulence,P,d,d,0.5930634175892919,1,single,1,[]
234,spleed,N,k,k,0.530155886663124,1,single,1,[]
235,nuisance,W,j,j,0.71482874895446,1,single,1,[]
236,surtilence,N,k,k,0.5408541092183441,1,single,1,[]
237,shurish,N,k,k,0.7004972472786903,1,single,1,[]
238,interpret,W,j,j,0.8123639058321714,1,single,1,[]
239,spack,N,k,k,0.9251626217737794,1,single,1,[]
240,blatant,W,j,j,1.6488948876503855,1,single,1,[]
241,etshery,N,k,k,0.5373683604411781,1,single,1,[]
242,congregate,W,j,j,0.706055635586381,1,single,1,[]
243,posiration,N,k,k,0.5960383675992489,1,single,1,[]
244,redemption,W,j,j,0.6542369376402348,1,single,1,[]
245,memieher,N,k,k,0.5427449645940214,1,single,1,[]
246,ensyranct,N,k,k,0.6063366648741066,1,single,1,[]
247,spashees,N,k,k,0.5205465662293136,1,single,1,[]
248,turbulence,P,d,d,0.550074321217835,1,single,1,[]
249,wriggle,W,j,j,0.7688709222711623,1,single,1,[]
250,guise,W,j,j,0.6123340395279229,1,single,1,[]
251,chisel,W,j,j,1.136659312294796,1,single,1,[]
252,turbulence,P,d,d,0.5709990283939987,1,single,1,[]
253,incorrant,N,k,k,0.8879416415002197,1,single,1,[]
254,sagiaromy,N,k,k,0.5723135832231492,1,single,1,[]
255,curacatize,N,k,k,0.5211943788453937,1,single,1,[]
256,turtle,W,j,j,0.4867746774107218,1,single,1,[]
