,stim,S,C,R,RT,block,cond,day,prestim_R
327,etslily,N,s,-1,-1,1,single,2,-1
328,peculiar,P,j,-1,-1,1,single,2,-1
329,stride,W,d,-1,-1,1,single,2,-1
330,vambitable,N,s,-1,-1,1,single,2,-1
331,scessilous,N,s,-1,-1,1,single,2,-1
332,monologue,W,d,-1,-1,1,single,2,-1
333,indicative,W,d,-1,-1,1,single,2,-1
334,sprinkle,W,d,-1,-1,1,single,2,-1
335,stave,W,d,-1,-1,1,single,2,-1
336,caustic,W,d,-1,-1,1,single,2,-1
337,fortuitous,W,d,-1,-1,1,single,2,-1
338,parrot,W,d,-1,-1,1,single,2,-1
339,peculiar,P,j,-1,-1,1,single,2,-1
340,slole,N,s,-1,-1,1,single,2,-1
341,afflyll,N,s,-1,-1,1,single,2,-1
342,protruding,W,d,-1,-1,1,single,2,-1
343,compofose,N,s,-1,-1,1,single,2,-1
344,peculiar,P,j,-1,-1,1,single,2,-1
345,salamander,W,d,-1,-1,1,single,2,-1
346,acrimony,W,d,-1,-1,1,single,2,-1
347,clamp,W,d,-1,-1,1,single,2,-1
348,inusupibly,N,s,-1,-1,1,single,2,-1
349,impetuous,W,d,-1,-1,1,single,2,-1
350,populism,W,d,-1,-1,1,single,2,-1
351,baton,W,d,-1,-1,1,single,2,-1
352,emerkabing,N,s,-1,-1,1,single,2,-1
353,ucatean,N,s,-1,-1,1,single,2,-1
354,icolent,N,s,-1,-1,1,single,2,-1
355,stusciaphy,N,s,-1,-1,1,single,2,-1
356,maturing,W,d,-1,-1,1,single,2,-1
357,peculiar,P,j,-1,-1,1,single,2,-1
358,vitamin,W,d,-1,-1,1,single,2,-1
359,infringing,W,d,-1,-1,1,single,2,-1
360,symposium,W,d,-1,-1,1,single,2,-1
361,segotath,N,s,-1,-1,1,single,2,-1
362,fidrories,N,s,-1,-1,1,single,2,-1
363,bubbling,W,d,-1,-1,1,single,2,-1
364,morilation,N,s,-1,-1,1,single,2,-1
365,enrucking,N,s,-1,-1,1,single,2,-1
366,timid,W,d,-1,-1,1,single,2,-1
367,epmactic,N,s,-1,-1,1,single,2,-1
368,cuppation,N,s,-1,-1,1,single,2,-1
369,ditefivity,N,s,-1,-1,1,single,2,-1
370,chapept,N,s,-1,-1,1,single,2,-1
371,skate,W,d,-1,-1,1,single,2,-1
372,peculiar,P,j,-1,-1,1,single,2,-1
373,constrorn,N,s,-1,-1,1,single,2,-1
374,impetus,W,d,-1,-1,1,single,2,-1
375,liral,N,s,-1,-1,1,single,2,-1
376,ferligied,N,s,-1,-1,1,single,2,-1
377,glove,W,d,-1,-1,1,single,2,-1
378,stund,N,s,-1,-1,1,single,2,-1
379,pummer,N,s,-1,-1,1,single,2,-1
380,hamphe,N,s,-1,-1,1,single,2,-1
381,queasy,W,d,-1,-1,1,single,2,-1
382,peculiar,P,j,-1,-1,1,single,2,-1
383,sacation,N,s,-1,-1,1,single,2,-1
384,impeccable,W,d,-1,-1,1,single,2,-1
385,laccuovity,N,s,-1,-1,1,single,2,-1
386,beard,W,d,-1,-1,1,single,2,-1
387,peculiar,P,j,-1,-1,1,single,2,-1
388,libel,W,d,-1,-1,1,single,2,-1
389,statistic,W,d,-1,-1,1,single,2,-1
390,spear,W,d,-1,-1,1,single,2,-1
391,clatslemy,N,s,-1,-1,1,single,2,-1
392,mingling,W,d,-1,-1,1,single,2,-1
393,euphemism,W,d,-1,-1,1,single,2,-1
394,steanse,N,s,-1,-1,1,single,2,-1
395,peculiar,P,j,-1,-1,1,single,2,-1
396,confection,W,d,-1,-1,1,single,2,-1
397,anathey,N,s,-1,-1,1,single,2,-1
398,reshax,N,s,-1,-1,1,single,2,-1
399,proton,W,d,-1,-1,1,single,2,-1
400,resent,W,d,-1,-1,1,single,2,-1
401,brape,N,s,-1,-1,1,single,2,-1
402,lenute,N,s,-1,-1,1,single,2,-1
403,catciox,N,s,-1,-1,1,single,2,-1
404,rousing,W,d,-1,-1,1,single,2,-1
405,convey,W,d,-1,-1,1,single,2,-1
406,meander,W,d,-1,-1,1,single,2,-1
407,obsolete,W,d,-1,-1,1,single,2,-1
408,uritous,N,s,-1,-1,1,single,2,-1
409,deceinier,N,s,-1,-1,1,single,2,-1
410,construct,W,d,-1,-1,1,single,2,-1
411,peculiar,P,j,-1,-1,1,single,2,-1
412,wimitation,N,s,-1,-1,1,single,2,-1
413,lethal,W,d,-1,-1,1,single,2,-1
414,entrant,W,d,-1,-1,1,single,2,-1
415,saviour,W,d,-1,-1,1,single,2,-1
416,dissident,W,d,-1,-1,1,single,2,-1
417,musel,N,s,-1,-1,1,single,2,-1
418,shrundour,N,s,-1,-1,1,single,2,-1
419,enrol,W,d,-1,-1,1,single,2,-1
420,peculiar,P,j,-1,-1,1,single,2,-1
421,cessation,W,d,-1,-1,1,single,2,-1
422,elicit,W,d,-1,-1,1,single,2,-1
423,lavish,W,d,-1,-1,1,single,2,-1
424,peculiar,P,j,-1,-1,1,single,2,-1
425,atlintime,N,s,-1,-1,1,single,2,-1
426,blatant,W,d,-1,-1,1,single,2,-1
427,nutotive,N,s,-1,-1,1,single,2,-1
428,tukid,N,s,-1,-1,1,single,2,-1
429,heliport,W,d,-1,-1,1,single,2,-1
430,abdrantic,N,s,-1,-1,1,single,2,-1
431,intonsing,N,s,-1,-1,1,single,2,-1
432,geography,W,d,-1,-1,1,single,2,-1
433,edquitic,N,s,-1,-1,1,single,2,-1
434,demuning,N,s,-1,-1,1,single,2,-1
435,busily,W,d,-1,-1,1,single,2,-1
436,piral,N,s,-1,-1,1,single,2,-1
437,peculiar,P,j,-1,-1,1,single,2,-1
438,dailies,W,d,-1,-1,1,single,2,-1
439,fridge,W,d,-1,-1,1,single,2,-1
440,sunfreas,N,s,-1,-1,1,single,2,-1
441,inticikess,N,s,-1,-1,1,single,2,-1
442,promarrity,N,s,-1,-1,1,single,2,-1
443,guslet,N,s,-1,-1,1,single,2,-1
444,frenzied,W,d,-1,-1,1,single,2,-1
445,eucalypt,W,d,-1,-1,1,single,2,-1
446,sefiening,N,s,-1,-1,1,single,2,-1
447,ilmesable,N,s,-1,-1,1,single,2,-1
448,imposition,W,d,-1,-1,1,single,2,-1
449,peculiar,P,j,-1,-1,1,single,2,-1
450,owing,W,d,-1,-1,1,single,2,-1
451,scuffle,W,d,-1,-1,1,single,2,-1
452,wiring,W,d,-1,-1,1,single,2,-1
453,furve,N,s,-1,-1,1,single,2,-1
454,olvedious,N,s,-1,-1,1,single,2,-1
455,mania,W,d,-1,-1,1,single,2,-1
456,ripple,W,d,-1,-1,1,single,2,-1
457,heprarpic,N,s,-1,-1,1,single,2,-1
458,subratany,N,s,-1,-1,1,single,2,-1
459,glancing,W,d,-1,-1,1,single,2,-1
460,bountiful,W,d,-1,-1,1,single,2,-1
461,peculiar,P,j,-1,-1,1,single,2,-1
462,enterpat,N,s,-1,-1,1,single,2,-1
463,guice,N,s,-1,-1,1,single,2,-1
464,chutney,W,d,-1,-1,1,single,2,-1
465,catalyst,W,d,-1,-1,1,single,2,-1
466,ecurism,N,s,-1,-1,1,single,2,-1
467,disfost,N,s,-1,-1,1,single,2,-1
468,etdenent,N,s,-1,-1,1,single,2,-1
469,peculiar,P,j,-1,-1,1,single,2,-1
470,indulging,W,d,-1,-1,1,single,2,-1
471,stitch,W,d,-1,-1,1,single,2,-1
472,luxurious,W,d,-1,-1,1,single,2,-1
473,resuce,N,s,-1,-1,1,single,2,-1
474,peculiar,P,j,-1,-1,1,single,2,-1
475,stealth,W,d,-1,-1,1,single,2,-1
476,disprote,N,s,-1,-1,1,single,2,-1
477,fulcrum,W,d,-1,-1,1,single,2,-1
478,weotnaquy,N,s,-1,-1,1,single,2,-1
479,abundance,W,d,-1,-1,1,single,2,-1
480,gambit,W,d,-1,-1,1,single,2,-1
481,hysterical,W,d,-1,-1,1,single,2,-1
482,caffeant,N,s,-1,-1,1,single,2,-1
483,disdain,W,d,-1,-1,1,single,2,-1
484,constegent,N,s,-1,-1,1,single,2,-1
485,destert,N,s,-1,-1,1,single,2,-1
486,saupour,N,s,-1,-1,1,single,2,-1
487,calories,W,d,-1,-1,1,single,2,-1
488,vubcoming,N,s,-1,-1,1,single,2,-1
489,ladge,N,s,-1,-1,1,single,2,-1
490,mirge,N,s,-1,-1,1,single,2,-1
491,imedity,N,s,-1,-1,1,single,2,-1
492,wombat,W,d,-1,-1,1,single,2,-1
493,peculiar,P,j,-1,-1,1,single,2,-1
494,clinch,W,d,-1,-1,1,single,2,-1
495,rubour,N,s,-1,-1,1,single,2,-1
496,insignia,W,d,-1,-1,1,single,2,-1
497,interrupt,W,d,-1,-1,1,single,2,-1
498,velocity,W,d,-1,-1,1,single,2,-1
499,finase,N,s,-1,-1,1,single,2,-1
500,dimmirable,N,s,-1,-1,1,single,2,-1
501,peculiar,P,j,-1,-1,1,single,2,-1
502,ugagra,N,s,-1,-1,1,single,2,-1
503,condurage,N,s,-1,-1,1,single,2,-1
504,rescote,N,s,-1,-1,1,single,2,-1
505,eicify,N,s,-1,-1,1,single,2,-1
506,allay,W,d,-1,-1,1,single,2,-1
507,nutritious,W,d,-1,-1,1,single,2,-1
508,spumpling,N,s,-1,-1,1,single,2,-1
509,prubtatist,N,s,-1,-1,1,single,2,-1
510,auturption,N,s,-1,-1,1,single,2,-1
511,reservoir,W,d,-1,-1,1,single,2,-1
512,peculiar,P,j,-1,-1,1,single,2,-1
513,ebude,N,s,-1,-1,1,single,2,-1
514,remamlocal,N,s,-1,-1,1,single,2,-1
515,peddle,W,d,-1,-1,1,single,2,-1
516,suttofate,N,s,-1,-1,1,single,2,-1
517,waping,N,s,-1,-1,1,single,2,-1
518,tratenit,N,s,-1,-1,1,single,2,-1
519,swivel,W,d,-1,-1,1,single,2,-1
520,sprumble,N,s,-1,-1,1,single,2,-1
521,iteprany,N,s,-1,-1,1,single,2,-1
522,peculiar,P,j,-1,-1,1,single,2,-1
523,rampide,N,s,-1,-1,1,single,2,-1
524,discrowing,N,s,-1,-1,1,single,2,-1
525,fervour,W,d,-1,-1,1,single,2,-1
526,creach,N,s,-1,-1,1,single,2,-1
527,prorne,N,s,-1,-1,1,single,2,-1
528,hassle,W,d,-1,-1,1,single,2,-1
529,raffle,W,d,-1,-1,1,single,2,-1
530,irate,W,d,-1,-1,1,single,2,-1
531,epraiting,N,s,-1,-1,1,single,2,-1
532,peculiar,P,j,-1,-1,1,single,2,-1
533,tadle,N,s,-1,-1,1,single,2,-1
534,conpay,N,s,-1,-1,1,single,2,-1
535,emapsacy,N,s,-1,-1,1,single,2,-1
536,incorrant,N,s,-1,-1,1,single,2,-1
537,peculiar,P,j,-1,-1,1,single,2,-1
538,flule,N,s,-1,-1,1,single,2,-1
539,plateau,W,d,-1,-1,1,single,2,-1
540,comstaring,N,s,-1,-1,1,single,2,-1
541,ilmite,N,s,-1,-1,1,single,2,-1
542,diffind,N,s,-1,-1,1,single,2,-1
543,sheatah,N,s,-1,-1,1,single,2,-1
544,rebuke,W,d,-1,-1,1,single,2,-1
545,ecinhat,N,s,-1,-1,1,single,2,-1
546,propagate,W,d,-1,-1,1,single,2,-1
547,etletolal,N,s,-1,-1,1,single,2,-1
548,treesling,N,s,-1,-1,1,single,2,-1
