,stim,S,C,R,RT,block,cond,day,prestim_R
267,detriment,P,d,d,0.6904354197904468,1,multi,2,[]
268,secrecy,W,k,k,1.696232380811125,1,multi,2,[]
269,dinter,N,j,j,0.5680339939426631,1,multi,2,[]
270,cronesque,N,j,j,0.6609274956863374,1,multi,2,[]
271,shuggle,N,j,j,0.8396925234701484,1,multi,2,[]
272,tracing,W,k,k,0.6456026413943619,1,multi,2,[]
273,systinct,N,j,j,0.9661553974729031,1,multi,2,[]
274,deshies,N,j,j,0.718150140484795,1,multi,2,[]
275,catharsis,W,k,j,0.5713223339989781,1,multi,2,[]
276,ficelle,N,j,j,0.8363720332272351,1,multi,2,[]
277,defining,W,k,k,0.6104194466024637,1,multi,2,[]
278,brund,N,j,j,0.6616738624870777,1,multi,2,[]
279,coyote,P,d,d,0.7213261048309505,1,multi,2,[]
280,ornate,W,k,j,1.1094604977406561,1,multi,2,[]
281,displacing,W,k,k,0.6158149803522974,1,multi,2,[]
282,geology,W,k,k,0.5960921517107636,1,multi,2,[]
283,sinnagra,N,j,j,0.6542805058415979,1,multi,2,[]
284,burtasion,N,j,j,0.5427852275315672,1,multi,2,[]
285,contrafold,N,j,j,1.0314354365691543,1,multi,2,[]
286,archetypal,W,k,k,1.2510724514722824,1,multi,2,[]
287,aupimation,N,j,j,0.6703285907860845,1,multi,2,[]
288,cheetah,P,d,d,0.7620271246414632,1,multi,2,[]
289,vibilite,N,j,j,0.6833945140242577,1,multi,2,[]
290,oyster,W,k,k,0.6172100610565394,1,multi,2,[]
291,fulebram,N,j,j,0.517466151388362,1,multi,2,[]
292,condemn,W,k,k,0.6749996922444552,1,multi,2,[]
293,physique,W,k,k,0.6247791924979538,1,multi,2,[]
294,stallion,P,d,d,0.5890587577596307,1,multi,2,[]
295,baderaque,N,j,j,0.5101446069311351,1,multi,2,[]
296,demedind,N,j,j,0.4805390303954482,1,multi,2,[]
297,spike,W,k,k,0.7346753710880876,1,multi,2,[]
298,excitable,W,k,k,0.6768544912338257,1,multi,2,[]
299,exercising,W,k,k,0.6816280528437346,1,multi,2,[]
300,dicuttic,N,j,j,0.5994102382101119,1,multi,2,[]
301,antidote,W,k,k,0.9205407972913235,1,multi,2,[]
302,despondent,W,k,k,0.6363229362759739,1,multi,2,[]
303,spile,N,j,j,0.8107149284332991,1,multi,2,[]
304,pendulum,W,k,k,0.6376035381108522,1,multi,2,[]
305,whistling,W,k,k,0.6520161665976048,1,multi,2,[]
306,ferocious,P,d,d,0.7325023743323982,1,multi,2,[]
307,orthodoxy,W,k,k,0.6517697814851999,1,multi,2,[]
308,agile,W,k,k,0.5883018746972084,1,multi,2,[]
309,whemicenal,N,j,j,0.7542113077361137,1,multi,2,[]
310,complicate,W,k,k,0.5796567613724619,1,multi,2,[]
311,vuwreos,N,j,j,0.5877270761411637,1,multi,2,[]
312,nidontic,N,j,j,0.604852044256404,1,multi,2,[]
313,conundrum,W,k,k,0.711019394453615,1,multi,2,[]
314,inquire,W,k,k,0.7290361565537751,1,multi,2,[]
315,appease,W,k,k,0.6211531246080995,1,multi,2,[]
316,seenfer,N,j,j,0.6174510377459228,1,multi,2,[]
317,himping,N,j,j,0.9177314061671495,1,multi,2,[]
318,coalesce,P,d,d,0.6063754253555089,1,multi,2,[]
319,steanse,N,j,j,0.6325138823594898,1,multi,2,[]
320,atslianct,N,j,j,0.5989174677524716,1,multi,2,[]
321,posia,N,j,j,0.6320313282776624,1,multi,2,[]
322,lapring,N,j,j,0.7710583412554115,1,multi,2,[]
323,interval,W,k,k,0.7265759108122438,1,multi,2,[]
324,substrift,N,j,j,0.6117180765140802,1,multi,2,[]
325,enterpat,N,j,j,0.6378943927120417,1,multi,2,[]
326,punshant,N,j,j,0.6523001103196293,1,multi,2,[]
327,divulge,P,d,d,0.7967626196332276,1,multi,2,[]
328,tyseritany,N,j,j,0.557576447725296,1,multi,2,[]
329,didirany,N,j,j,0.5683768298476934,1,multi,2,[]
330,necerif,N,j,j,0.5332414095755666,1,multi,2,[]
331,tremor,W,k,k,0.6928980688098818,1,multi,2,[]
332,jidyl,N,j,j,0.64480369258672,1,multi,2,[]
333,subterpose,N,j,j,0.702369173290208,1,multi,2,[]
334,emexole,N,j,j,0.6243918868713081,1,multi,2,[]
335,cobbucion,N,j,j,0.5107797998934984,1,multi,2,[]
336,horrendous,W,k,k,0.8261855107266456,1,multi,2,[]
337,panfour,N,j,j,0.5250998835545033,1,multi,2,[]
338,adthenogy,N,j,j,0.8425938582513481,1,multi,2,[]
339,babband,N,j,j,0.5915995293762535,1,multi,2,[]
340,detriment,P,d,d,0.7276594042778015,1,multi,2,[]
341,lerraid,N,j,j,0.555781141621992,1,multi,2,[]
342,custodial,W,k,k,0.7244272523093969,1,multi,2,[]
343,alternate,W,k,k,0.5435270871967077,1,multi,2,[]
344,propriety,W,k,k,0.7191467983648181,1,multi,2,[]
345,welcoming,W,k,k,0.5702139013446867,1,multi,2,[]
346,coyote,P,d,d,0.7435972169041634,1,multi,2,[]
347,distoft,N,j,j,0.6784037128090858,1,multi,2,[]
348,lespel,N,j,j,0.5871435641311109,1,multi,2,[]
349,burple,N,j,j,0.9312020619399846,1,multi,2,[]
350,comrade,W,k,k,0.6768559936899692,1,multi,2,[]
351,clonantine,N,j,j,0.6746195980813354,1,multi,2,[]
352,raople,N,j,j,0.5924378396011889,1,multi,2,[]
353,tuning,W,k,k,0.9754489241167903,1,multi,2,[]
354,sweapy,N,j,j,0.6745931564364582,1,multi,2,[]
355,erode,W,k,k,0.6153696842957288,1,multi,2,[]
356,uscuhant,N,j,j,0.5476402165368199,1,multi,2,[]
357,jolly,W,k,k,0.8923167802859098,1,multi,2,[]
358,bompling,N,j,j,0.5467778684105724,1,multi,2,[]
359,cimnus,N,j,j,0.573605903191492,1,multi,2,[]
360,suscanse,N,j,j,0.7945051910355687,1,multi,2,[]
361,tendencies,P,d,d,0.7131857806816697,1,multi,2,[]
362,inception,W,k,k,0.9002383626066148,1,multi,2,[]
363,wimitation,N,j,j,0.618739752098918,1,multi,2,[]
